Courier_id,Location_id,Stop_Type,Arrival_time,Departure_time,Amount,Order_id
D0036,B3050,ecommerce_delivery,442,471,66,F6186
D0036,B6778,ecommerce_delivery,490,510,26,F5870
D0036,B0979,ecommerce_delivery,533,554,28,F5143
D0036,B5872,ecommerce_delivery,556,582,52,F5197
D0036,B4453,ecommerce_delivery,593,623,69,F4564
D0036,B4978,ecommerce_delivery,629,660,78,F6925
D0044,A098,site,0,0,0,
D0044,B2399,ecommerce_delivery,14,42,59,F0140
D0044,B6987,ecommerce_delivery,57,79,34,F5213
D0044,B0783,ecommerce_delivery,112,138,51,F2953
D0044,B4969,ecommerce_delivery,174,199,43,F2191
D0044,B0295,ecommerce_delivery,237,260,36,F6311
D0044,B7680,ecommerce_delivery,262,287,43,F6371
D0044,B4602,ecommerce_delivery,302,320,19,F3066
D0044,B2564,ecommerce_delivery,349,371,32,F6179
D0044,B3126,ecommerce_delivery,380,410,71,F5838
D0044,B7131,ecommerce_delivery,428,455,56,F0385
D0044,B5518,ecommerce_delivery,491,521,67,F4618
D0044,B5197,ecommerce_delivery,531,559,62,F3839
D0044,B2581,ecommerce_delivery,577,593,14,F7217
D0052,A109,site,0,0,0,
D0052,B3552,ecommerce_delivery,53,81,56,F4430
D0052,B1432,ecommerce_delivery,116,135,21,F3809
D0052,B2318,ecommerce_delivery,140,166,48,F3042
D0052,B0511,ecommerce_delivery,169,187,21,F3030
D0052,B6045,ecommerce_delivery,241,266,44,F6364
D0052,B7898,ecommerce_delivery,287,315,57,F2222
D0052,B5380,ecommerce_delivery,329,359,70,F6204
D0052,B3135,ecommerce_delivery,376,404,57,F5840
D0052,S512,shop,438,448,3,E3608
D0052,B2636,ecommerce_delivery,449,477,56,F6912
D0052,B6497,ecommerce_delivery,489,508,22,F5205
D0052,B5050,ecommerce_delivery,537,556,21,F0662
D0060,A024,site,0,0,0,
D0060,B5382,ecommerce_delivery,42,71,63,F2082
D0060,B5489,ecommerce_delivery,91,123,83,F5186
D0060,B3862,ecommerce_delivery,145,178,83,F4606
D0060,B7104,ecommerce_delivery,194,222,59,F3852
D0060,B2310,ecommerce_delivery,253,283,70,F6734
D0060,B6474,ecommerce_delivery,296,309,7,F0374
D0060,B7926,ecommerce_delivery,328,358,68,F5879
D0060,B3045,ecommerce_delivery,386,421,97,F2358
D0060,B8092,ecommerce_delivery,460,487,54,F6225
D0060,B7750,ecommerce_delivery,537,562,45,F3102
D0060,B2112,ecommerce_delivery,582,591,2,F7539
D0068,A058,site,0,0,0,
D0068,B0082,ecommerce_delivery,45,66,28,F1989
D0068,B2994,ecommerce_delivery,72,95,34,F2034
D0068,B5549,ecommerce_delivery,97,120,35,F2084
D0068,B1086,ecommerce_delivery,122,146,37,F2006
D0068,B0878,ecommerce_delivery,156,188,83,F2329
D0068,B6713,ecommerce_delivery,193,214,27,F2399
D0068,B6812,ecommerce_delivery,222,253,74,F3002
D0068,B5815,ecommerce_delivery,270,299,64,F5196
D0068,B6172,ecommerce_delivery,326,358,78,F5926
D0068,B0754,ecommerce_delivery,379,405,48,F4412
D0068,B5671,ecommerce_delivery,406,436,67,F4444
D0068,B8984,ecommerce_delivery,451,481,72,F3745
D0068,B1271,ecommerce_delivery,526,540,9,F7209
D0068,B7406,ecommerce_delivery,601,623,34,F6368
D0076,A028,site,0,0,0,
D0076,B3787,ecommerce_delivery,45,68,37,F5846
D0076,B2236,ecommerce_delivery,84,112,60,F6175
D0076,B8478,ecommerce_delivery,146,162,13,F2231
D0076,B4257,ecommerce_delivery,164,180,13,F2184
D0076,B3053,ecommerce_delivery,206,233,53,F6332
D0076,B6958,ecommerce_delivery,241,263,32,F0380
D0076,B3467,ecommerce_delivery,267,283,14,F0345
D0076,B1945,ecommerce_delivery,285,303,19,F0331
D0076,B0300,ecommerce_delivery,335,360,48,F3028
D0076,B2040,ecommerce_delivery,369,387,19,F3039
D0076,B4758,ecommerce_delivery,391,409,19,F3069
D0076,B6758,ecommerce_delivery,429,452,38,F3849
D0076,B4459,ecommerce_delivery,480,512,76,F4611
D0076,B3545,ecommerce_delivery,531,561,73,F6915
D0076,B5698,ecommerce_delivery,569,598,65,F5189
D0084,A056,site,0,0,0,
D0084,B8432,ecommerce_delivery,50,76,50,F2229
D0084,B2877,ecommerce_delivery,141,160,23,F3047
D0084,B1299,ecommerce_delivery,171,191,25,F3035
D0084,B0932,ecommerce_delivery,198,224,50,F6721
D0084,B9008,ecommerce_delivery,227,250,39,F6788
D0084,B4633,ecommerce_delivery,263,288,42,F0660
D0084,B1715,ecommerce_delivery,311,332,30,F3814
D0084,B3496,ecommerce_delivery,369,399,73,F5533
D0084,B6393,ecommerce_delivery,404,429,46,F5552
D0084,B1456,ecommerce_delivery,458,479,27,F5994
D0084,B5020,ecommerce_delivery,481,512,75,F6015
D0084,B7176,ecommerce_delivery,524,547,36,F4459
D0084,S488,shop,578,587,2,E3482
D0084,B6156,ecommerce_delivery,611,640,61,F0151
D0092,A029,site,0,0,0,
D0092,B6591,ecommerce_delivery,70,98,62,F3782
D0092,B0189,ecommerce_delivery,110,137,50,F5132
D0092,B8247,ecommerce_delivery,141,167,46,F2124
D0092,B6767,ecommerce_delivery,168,198,67,F5209
D0092,B4437,ecommerce_delivery,216,230,10,F2371
D0092,B7139,ecommerce_delivery,235,258,36,F2404
D0092,B5191,ecommerce_delivery,267,293,51,F2982
D0092,B2479,ecommerce_delivery,302,330,57,F4556
D0092,B4504,ecommerce_delivery,355,384,65,F6754
D0092,B6312,ecommerce_delivery,395,422,54,F6704
D0092,B6697,ecommerce_delivery,444,473,62,F5928
D0092,B5527,ecommerce_delivery,485,500,11,F3725
D0092,B0739,ecommerce_delivery,510,542,82,F6687
D0092,B2355,ecommerce_delivery,549,576,57,F7774
D0092,B4106,ecommerce_delivery,579,591,5,F0659
D0100,A012,site,0,0,0,
D0100,B6336,ecommerce_delivery,73,96,38,F0990
D0100,B3486,ecommerce_delivery,105,136,75,F4428
D0100,B0126,ecommerce_delivery,183,212,63,F8281
D0100,B6305,ecommerce_delivery,221,245,40,F6765
D0100,B7462,ecommerce_delivery,287,300,7,F3009
D0100,B4762,ecommerce_delivery,312,327,11,F2372
D0100,B9111,ecommerce_delivery,375,407,79,F5234
D0100,B8142,ecommerce_delivery,421,452,77,F5935
D0100,B0493,ecommerce_delivery,457,486,61,F5913
D0100,B7925,ecommerce_delivery,498,523,45,F6708
D0100,B3710,ecommerce_delivery,524,547,35,F6696
D0100,B8126,ecommerce_delivery,583,603,25,F3107
D0108,A020,site,0,0,0,
D0108,B1454,ecommerce_delivery,131,152,30,F2342
D0108,B7262,ecommerce_delivery,154,181,54,F2405
D0108,B8392,ecommerce_delivery,196,219,35,F2130
D0108,B4031,ecommerce_delivery,240,270,68,F3772
D0108,B0786,ecommerce_delivery,277,311,91,F5140
D0108,B6011,ecommerce_delivery,315,330,12,F4571
D0108,B2076,ecommerce_delivery,337,358,31,F4554
D0108,B1572,ecommerce_delivery,390,421,75,F5821
D0108,B7293,ecommerce_delivery,444,463,21,F6217
D0108,B1158,ecommerce_delivery,520,547,56,F6723
D0108,B2777,ecommerce_delivery,571,599,62,F6913
D0108,B4874,ecommerce_delivery,610,629,22,F3723
D0116,A112,site,0,0,0,
D0116,B6359,ecommerce_delivery,124,146,33,F2391
D0116,B0957,ecommerce_delivery,158,184,50,F2330
D0116,B4752,ecommerce_delivery,190,218,61,F2066
D0116,B4087,ecommerce_delivery,248,268,24,F4561
D0116,B3542,ecommerce_delivery,287,314,55,F6745
D0116,B6008,ecommerce_delivery,334,362,57,F3079
D0116,B7420,ecommerce_delivery,378,398,27,F3856
D0116,B1846,ecommerce_delivery,413,439,49,F7771
D0116,B4661,ecommerce_delivery,447,474,54,F6700
D0116,B0324,ecommerce_delivery,490,520,69,F5134
D0116,B8114,ecommerce_delivery,521,552,73,F5226
D0116,B7314,ecommerce_delivery,567,601,95,F5931
D0116,B1021,ecommerce_delivery,605,623,20,F5914
D0116,B1225,ecommerce_delivery,636,662,53,F6689
D0124,A122,site,0,0,0,
D0124,B3889,ecommerce_delivery,3,34,77,F0005
D0124,B5285,ecommerce_delivery,60,85,42,F4443
D0124,B8888,ecommerce_delivery,94,123,66,F6040
D0124,B4384,ecommerce_delivery,169,192,36,F3063
D0124,B7581,ecommerce_delivery,221,249,60,F6779
D0124,B6844,ecommerce_delivery,275,290,11,F0377
D0124,B3049,ecommerce_delivery,324,346,30,F2174
D0124,B0727,ecommerce_delivery,405,426,27,F2952
D0124,B8796,ecommerce_delivery,445,473,58,F5232
D0124,B3328,ecommerce_delivery,494,520,50,F5920
D0124,S432,shop,531,539,1,E3203
D0132,A095,site,0,0,0,
D0132,B0400,ecommerce_delivery,155,178,35,F2324
D0132,B4989,ecommerce_delivery,185,208,35,F2374
D0132,B3477,ecommerce_delivery,227,256,66,F2973
D0132,B8450,ecommerce_delivery,285,314,64,F3800
D0132,B7805,ecommerce_delivery,329,360,77,F3733
D0132,B0427,ecommerce_delivery,377,408,77,F5135
D0132,B4093,ecommerce_delivery,418,448,69,F4562
D0132,B2164,ecommerce_delivery,482,509,55,F5826
D0132,B2679,ecommerce_delivery,526,545,24,F6180
D0132,B8019,ecommerce_delivery,590,606,15,F6374
D0132,B2907,ecommerce_delivery,668,690,34,F7223
D0140,A115,site,0,0,0,
D0140,B8015,ecommerce_delivery,14,42,57,F0010
D0140,B3115,ecommerce_delivery,60,90,69,F4425
D0140,B7469,ecommerce_delivery,131,156,44,F3098
D0140,B8765,ecommerce_delivery,190,205,12,F0396
D0140,B8345,ecommerce_delivery,232,244,6,F5884
D0140,B3415,ecommerce_delivery,279,311,80,F5166
D0140,B1882,ecommerce_delivery,343,370,51,F2960
D0140,B1941,ecommerce_delivery,404,420,14,F6173
D0140,B4958,ecommerce_delivery,437,455,18,F2190
D0140,B3686,ecommerce_delivery,507,521,10,F7547
D0140,B0636,ecommerce_delivery,566,581,11,F6313
D0148,A091,site,0,0,0,
D0148,B7151,ecommerce_delivery,89,113,39,F4458
D0148,B1592,ecommerce_delivery,132,159,52,F3709
D0148,B4729,ecommerce_delivery,172,201,65,F3775
D0148,B3385,ecommerce_delivery,205,238,88,F5164
D0148,B1016,ecommerce_delivery,256,285,62,F2003
D0148,B5531,ecommerce_delivery,287,313,52,F2083
D0148,B3015,ecommerce_delivery,317,340,35,F2035
D0148,B2483,ecommerce_delivery,350,375,46,F2350
D0148,B6609,ecommerce_delivery,384,410,46,F2398
D0148,B8972,ecommerce_delivery,456,470,10,F5890
D0148,B5814,ecommerce_delivery,475,493,17,F6207
D0148,B4470,ecommerce_delivery,526,550,42,F6344
D0148,B3943,ecommerce_delivery,574,588,10,F7549
D0148,B9113,ecommerce_delivery,608,631,37,F6790
D0156,A054,site,0,0,0,
D0156,B1819,ecommerce_delivery,20,44,42,F5997
D0156,B8931,ecommerce_delivery,47,69,33,F6041
D0156,B4968,ecommerce_delivery,72,90,20,F6014
D0156,B2538,ecommerce_delivery,102,123,30,F4185
D0156,B0366,ecommerce_delivery,128,157,63,F5512
D0156,B8408,ecommerce_delivery,162,187,44,F5562
D0156,B2886,ecommerce_delivery,194,225,76,F5529
D0156,B0538,ecommerce_delivery,267,281,8,F2705
D0156,B8083,ecommerce_delivery,319,334,12,F3105
D0156,B7848,ecommerce_delivery,377,402,47,F0387
D0156,B5394,ecommerce_delivery,429,444,11,F2198
D0156,B2071,ecommerce_delivery,476,500,42,F0333
D0156,B5151,ecommerce_delivery,520,544,39,F6760
D0156,B5226,ecommerce_delivery,576,594,18,F6975
D0164,A077,site,0,0,0,
D0164,B5648,ecommerce_delivery,177,204,54,F3778
D0164,B2306,ecommerce_delivery,221,248,55,F3713
D0164,B0268,ecommerce_delivery,262,294,80,F5133
D0164,B1860,ecommerce_delivery,307,335,56,F4552
D0164,B5412,ecommerce_delivery,376,390,9,F2381
D0164,B8078,ecommerce_delivery,392,418,47,F2414
D0164,B2122,ecommerce_delivery,453,473,25,F5825
D0164,B0217,ecommerce_delivery,487,503,13,F6160
D0164,B7174,ecommerce_delivery,506,531,45,F6216
D0164,B4035,ecommerce_delivery,572,591,21,F8310
D0164,B7809,ecommerce_delivery,602,629,51,F6780
D0164,B1372,ecommerce_delivery,631,656,46,F6725
D0172,A101,site,0,0,0,
D0172,B1414,ecommerce_delivery,44,78,97,F4597
D0172,B8181,ecommerce_delivery,83,109,49,F3858
D0172,B8383,ecommerce_delivery,125,153,60,F3740
D0172,B4494,ecommerce_delivery,176,194,18,F5177
D0172,B3524,ecommerce_delivery,230,264,92,F0347
D0172,B6456,ecommerce_delivery,291,318,54,F2998
D0172,B2664,ecommerce_delivery,330,359,64,F5831
D0172,B4533,ecommerce_delivery,390,408,18,F6200
D0172,B8705,ecommerce_delivery,421,446,46,F2233
D0172,B3938,ecommerce_delivery,448,469,27,F2181
D0172,B8398,ecommerce_delivery,547,555,1,F6377
D0180,A097,site,0,0,0,
D0180,B5965,ecommerce_delivery,12,27,11,F6024
D0180,B4313,ecommerce_delivery,39,72,90,F4438
D0180,B5609,ecommerce_delivery,98,126,60,F5904
D0180,B7904,ecommerce_delivery,149,177,61,F5223
D0180,B7475,ecommerce_delivery,200,227,50,F8330
D0180,B9188,ecommerce_delivery,257,282,43,F0401
D0180,B1468,ecommerce_delivery,285,307,30,F0328
D0180,B3354,ecommerce_delivery,310,333,37,F0343
D0180,B6661,ecommerce_delivery,365,383,20,F3089
D0180,B2046,ecommerce_delivery,385,412,53,F3040
D0180,B0220,ecommerce_delivery,417,447,67,F3025
D0180,B0024,ecommerce_delivery,467,496,62,F6713
D0180,B7340,ecommerce_delivery,501,527,51,F6774
D0180,B6116,ecommerce_delivery,578,610,85,F2205
D0188,A036,site,0,0,0,
D0188,B6481,ecommerce_delivery,17,42,47,F4455
D0188,B0399,ecommerce_delivery,61,93,82,F5894
D0188,B7569,ecommerce_delivery,96,129,88,F5933
D0188,B1125,ecommerce_delivery,147,176,68,F6905
D0188,B2751,ecommerce_delivery,183,213,70,F6694
D0188,B0601,ecommerce_delivery,220,252,82,F6718
D0188,B0822,ecommerce_delivery,276,307,75,F3805
D0188,B5421,ecommerce_delivery,333,348,10,F3074
D0188,B3516,ecommerce_delivery,359,382,37,F0346
D0188,B6082,ecommerce_delivery,424,442,19,F2204
D0188,B1552,ecommerce_delivery,444,464,25,F2160
D0188,B3040,ecommerce_delivery,510,538,57,F2969
D0188,B6407,ecommerce_delivery,566,598,81,F5203
D0188,S444,shop,600,608,1,E3239
D0196,A092,site,0,0,0,
D0196,B0112,ecommerce_delivery,10,38,58,F0132
D0196,B8558,ecommerce_delivery,67,96,64,F2135
D0196,B4985,ecommerce_delivery,122,141,22,F2373
D0196,B7126,ecommerce_delivery,157,175,20,F3004
D0196,B0667,ecommerce_delivery,184,210,50,F5812
D0196,B2565,ecommerce_delivery,217,239,32,F5829
D0196,B0170,ecommerce_delivery,252,273,30,F5806
D0196,B0643,ecommerce_delivery,284,304,25,F6163
D0196,B7869,ecommerce_delivery,307,323,14,F6224
D0196,B2442,ecommerce_delivery,348,364,13,F4251
D0196,B7906,ecommerce_delivery,397,421,42,F6373
D0196,B8619,ecommerce_delivery,451,479,61,F3115
D0196,B5544,ecommerce_delivery,497,528,74,F0364
D0196,B8238,ecommerce_delivery,554,584,67,F6938
D0204,A092,site,0,0,0,
D0204,B2352,ecommerce_delivery,22,52,67,F4602
D0204,B8955,ecommerce_delivery,69,89,28,F6042
D0204,B4659,ecommerce_delivery,103,132,63,F3832
D0204,B2161,ecommerce_delivery,155,184,64,F6732
D0204,B4647,ecommerce_delivery,199,221,32,F3067
D0204,B2249,ecommerce_delivery,234,265,77,F0335
D0204,B0871,ecommerce_delivery,307,337,68,F2153
D0204,B0632,ecommerce_delivery,376,408,81,F2949
D0204,B2631,ecommerce_delivery,435,469,92,F5158
D0204,B2248,ecommerce_delivery,482,495,7,F0139
D0204,B5695,ecommerce_delivery,506,537,71,F6929
D0204,B6125,ecommerce_delivery,552,586,92,F5905
D0212,A094,site,0,0,0,
D0212,B8186,ecommerce_delivery,60,84,41,F2415
D0212,B0561,ecommerce_delivery,91,123,82,F2326
D0212,B6890,ecommerce_delivery,162,190,63,F5212
D0212,B5563,ecommerce_delivery,213,246,86,F5903
D0212,B8461,ecommerce_delivery,266,291,44,F4466
D0212,B6308,ecommerce_delivery,312,336,41,F6027
D0212,B1766,ecommerce_delivery,355,382,50,F3815
D0212,B6081,ecommerce_delivery,406,429,36,F3080
D0212,B2264,ecommerce_delivery,438,459,30,F6733
D0212,B6507,ecommerce_delivery,471,499,57,F0667
D0212,B1315,ecommerce_delivery,513,544,76,F6909
D0220,A036,site,0,0,0,
D0220,B6394,ecommerce_delivery,54,75,31,F3847
D0220,B6956,ecommerce_delivery,80,103,36,F3092
D0220,B1381,ecommerce_delivery,106,133,54,F3036
D0220,B0285,ecommerce_delivery,152,177,41,F3027
D0220,B4018,ecommerce_delivery,191,209,19,F0352
D0220,B8849,ecommerce_delivery,213,241,56,F0397
D0220,B7752,ecommerce_delivery,269,294,47,F2220
D0220,B2801,ecommerce_delivery,318,347,63,F6184
D0220,B3770,ecommerce_delivery,374,397,36,F5845
D0220,B8773,ecommerce_delivery,424,447,35,F4589
D0220,B1533,ecommerce_delivery,455,486,72,F5147
D0220,B1024,ecommerce_delivery,509,538,67,F8286
D0220,B8293,ecommerce_delivery,542,566,41,F6783
D0220,B1954,ecommerce_delivery,567,594,58,F6728
D0228,A009,site,0,0,0,
D0228,B3249,ecommerce_delivery,110,131,28,F2038
D0228,B7536,ecommerce_delivery,137,163,51,F2113
D0228,B2431,ecommerce_delivery,181,205,38,F2349
D0228,B8239,ecommerce_delivery,209,229,27,F2416
D0228,B3082,ecommerce_delivery,253,273,25,F5837
D0228,B3649,ecommerce_delivery,293,310,15,F6190
D0228,B2579,ecommerce_delivery,346,365,23,F6327
D0228,B1219,ecommerce_delivery,419,436,18,F4549
D0228,B6534,ecommerce_delivery,443,476,84,F4580
D0228,B5592,ecommerce_delivery,485,510,42,F5187
D0228,B5702,ecommerce_delivery,523,546,36,F3779
D0228,B1921,ecommerce_delivery,566,594,58,F3712
D0228,B4569,ecommerce_delivery,609,636,53,F6921
D0228,S522,shop,638,647,2,E3752
D0236,A063,site,0,0,0,
D0236,B6780,ecommerce_delivery,47,71,39,F5210
D0236,B0608,ecommerce_delivery,92,120,56,F2948
D0236,B8782,ecommerce_delivery,144,163,22,F5889
D0236,B3809,ecommerce_delivery,194,220,49,F2180
D0236,B7041,ecommerce_delivery,248,270,34,F0383
D0236,B2020,ecommerce_delivery,287,302,13,F6324
D0236,B8897,ecommerce_delivery,311,327,14,F6379
D0236,B4180,ecommerce_delivery,369,394,42,F3060
D0236,B4756,ecommerce_delivery,401,416,12,F3836
D0236,B2787,ecommerce_delivery,434,452,18,F7220
D0236,B8311,ecommerce_delivery,498,519,30,F4464
D0244,A038,site,0,0,0,
D0244,B2358,ecommerce_delivery,105,126,28,F2348
D0244,B3604,ecommerce_delivery,132,158,50,F2045
D0244,B6570,ecommerce_delivery,162,179,16,F2397
D0244,B7758,ecommerce_delivery,182,204,33,F2117
D0244,B3233,ecommerce_delivery,222,245,38,F2972
D0244,B4055,ecommerce_delivery,291,325,94,F3721
D0244,B5795,ecommerce_delivery,346,369,36,F6021
D0244,B6905,ecommerce_delivery,388,411,33,F4214
D0244,B1485,ecommerce_delivery,425,454,65,F5516
D0244,B3151,ecommerce_delivery,459,483,44,F5531
D0244,B7552,ecommerce_delivery,490,517,56,F5558
D0244,B1815,ecommerce_delivery,552,572,24,F5996
D0244,B0068,ecommerce_delivery,607,638,74,F6714
D0244,B8721,ecommerce_delivery,641,664,34,F6787
D0244,B5641,ecommerce_delivery,681,701,27,F8317
D0252,A118,site,0,0,0,
D0252,B0008,ecommerce_delivery,4,38,90,F0001
D0252,B1531,ecommerce_delivery,69,102,88,F3756
D0252,B3750,ecommerce_delivery,106,137,78,F3770
D0252,B5807,ecommerce_delivery,148,174,49,F5195
D0252,B1032,ecommerce_delivery,184,216,80,F4548
D0252,B7615,ecommerce_delivery,229,254,43,F4584
D0252,B6751,ecommerce_delivery,285,317,78,F2400
D0252,B5525,ecommerce_delivery,331,349,18,F5861
D0252,B3901,ecommerce_delivery,370,386,14,F6194
D0252,B4276,ecommerce_delivery,401,422,28,F2185
D0252,B7897,ecommerce_delivery,456,473,16,F0388
D0252,B7907,ecommerce_delivery,556,565,2,F7937
D0252,B6648,ecommerce_delivery,588,599,4,F6367
D0260,A067,site,0,0,0,
D0260,B3966,ecommerce_delivery,121,149,57,F4435
D0260,B5439,ecommerce_delivery,188,214,51,F3075
D0260,B2990,ecommerce_delivery,266,288,32,F6330
D0260,B2258,ecommerce_delivery,320,345,47,F6176
D0260,B8022,ecommerce_delivery,358,374,13,F5881
D0260,B6546,ecommerce_delivery,417,443,46,F2396
D0260,B8795,ecommerce_delivery,467,495,60,F2138
D0260,B4291,ecommerce_delivery,511,542,74,F5175
D0260,S507,shop,552,561,2,E3595
D0260,B4556,ecommerce_delivery,564,592,62,F6920
D0268,A004,site,0,0,0,
D0268,B2080,ecommerce_delivery,44,75,71,F2963
D0268,B3424,ecommerce_delivery,114,141,55,F2175
D0268,B8690,ecommerce_delivery,188,206,18,F0394
D0268,B3843,ecommerce_delivery,216,240,43,F6750
D0268,B6755,ecommerce_delivery,255,279,42,F3090
D0268,B6906,ecommerce_delivery,308,335,58,F3850
D0268,B5186,ecommerce_delivery,370,401,74,F6018
D0268,B8910,ecommerce_delivery,413,431,19,F5570
D0268,B2333,ecommerce_delivery,445,474,63,F6001
D0268,B8063,ecommerce_delivery,518,544,52,F0011
D0268,B7443,ecommerce_delivery,558,588,67,F4623
D0268,B1841,ecommerce_delivery,589,615,48,F4599
D0268,B8101,ecommerce_delivery,617,641,39,F7790
D0276,A039,site,0,0,0,
D0276,B1020,ecommerce_delivery,71,90,22,F2005
D0276,B2516,ecommerce_delivery,92,116,40,F2026
D0276,B5142,ecommerce_delivery,122,148,51,F2078
D0276,B0999,ecommerce_delivery,158,178,25,F2331
D0276,B4375,ecommerce_delivery,192,216,40,F2370
D0276,B7879,ecommerce_delivery,236,261,46,F3014
D0276,B2936,ecommerce_delivery,284,315,77,F4559
D0276,B0185,ecommerce_delivery,316,331,11,F4544
D0276,B8155,ecommerce_delivery,343,373,72,F5227
D0276,B0089,ecommerce_delivery,374,404,68,F5131
D0276,B3741,ecommerce_delivery,413,438,46,F3769
D0276,B1160,ecommerce_delivery,442,471,61,F3751
D0276,B3070,ecommerce_delivery,486,516,67,F5919
D0276,B9140,ecommerce_delivery,555,580,47,F6043
D0276,B7486,ecommerce_delivery,626,651,45,F6777
D0276,B5887,ecommerce_delivery,678,694,12,F7555
D0284,A099,site,0,0,0,
D0284,B1894,ecommerce_delivery,70,87,15,F0427
D0284,B8419,ecommerce_delivery,145,171,48,F2419
D0284,B4026,ecommerce_delivery,174,201,54,F2365
D0284,B8443,ecommerce_delivery,203,227,43,F2132
D0284,B2786,ecommerce_delivery,305,330,43,F4424
D0284,B3333,ecommerce_delivery,334,356,30,F6004
D0284,B6764,ecommerce_delivery,361,379,18,F6030
D0284,B3466,ecommerce_delivery,395,427,77,F5532
D0284,B5844,ecommerce_delivery,429,447,18,F5546
D0284,B8770,ecommerce_delivery,455,479,39,F5566
D0284,B5073,ecommerce_delivery,518,545,53,F3072
D0284,B2588,ecommerce_delivery,573,595,30,F7540
D0284,B2919,ecommerce_delivery,620,646,50,F6739
D0292,A041,site,0,0,0,
D0292,B0422,ecommerce_delivery,8,24,13,F0133
D0292,B6488,ecommerce_delivery,33,59,51,F5927
D0292,B7579,ecommerce_delivery,67,81,9,F0157
D0292,B2640,ecommerce_delivery,97,126,66,F3761
D0292,B1686,ecommerce_delivery,128,154,48,F3758
D0292,B2394,ecommerce_delivery,163,185,33,F5156
D0292,B7720,ecommerce_delivery,187,209,31,F5221
D0292,B5877,ecommerce_delivery,217,246,66,F4569
D0292,B0294,ecommerce_delivery,253,276,35,F4545
D0292,B6618,ecommerce_delivery,287,318,76,F3000
D0292,B1644,ecommerce_delivery,361,385,37,F2162
D0292,B7157,ecommerce_delivery,387,411,40,F2212
D0292,B4940,ecommerce_delivery,448,469,27,F6351
